timestamp,engine_value,nitrous_value
38.593793,0.42,1.33
38.683768,0.41,1.34
38.777689,0.37,1.38
38.867883,0.34,1.36
38.958257,0.34,1.36
39.05263,0.35,1.34
39.142521,0.35,1.33
39.236881,0.45,1.32
39.326848,0.40,1.31
39.421125,0.37,1.33
39.511247,0.35,1.33
39.601302,0.37,1.31
39.695595,0.39,1.32
39.785555,0.36,1.35
39.879849,0.32,1.36
39.969951,0.34,1.33
40.063844,0.38,1.32
40.154286,0.37,1.33
40.244134,0.35,1.34
40.338515,0.29,1.32
40.42866,0.29,1.32
40.522961,0.24,1.34
40.613035,0.25,1.35
40.707151,0.29,1.35
40.797081,0.28,1.32
40.887125,0.27,1.34
40.981265,0.25,1.33
41.071837,0.23,1.35
41.166112,0.27,1.37
41.255874,0.29,1.38
41.350197,0.28,1.34
41.440255,0.30,1.36
41.530172,0.34,1.36
41.624521,0.38,1.34
41.714236,0.42,1.35
41.809098,0.38,1.36
41.899078,0.39,1.34
41.988989,0.38,1.39
42.083287,0.41,1.41
42.173238,0.39,1.37
42.267582,0.40,1.35
42.357443,0.39,1.34
42.451769,0.39,1.34
42.541887,0.40,1.34
42.631969,0.41,1.34
42.726429,0.45,1.37
42.816494,0.47,1.32
42.910564,0.45,1.33
43.00062,0.42,1.38
43.094911,0.51,1.36
43.184815,0.54,1.33
43.274869,0.56,1.33
43.369369,0.59,1.31
43.459381,0.59,1.31
43.553609,0.57,1.38
43.643711,0.54,1.40
43.737813,0.49,1.33
43.828181,0.52,1.32
43.917825,0.55,1.34
44.012265,0.52,1.35
44.102094,0.59,1.32
44.196613,0.59,1.30
44.286538,0.56,1.33
44.381069,0.56,1.34
44.47126,0.59,1.37
44.561035,0.56,1.40
44.655268,0.53,1.36
44.745504,0.53,1.37
44.839642,0.51,1.36
44.929719,0.44,1.33
45.023852,0.46,1.34
45.114036,0.52,1.37
45.203928,0.51,1.35
45.298483,0.53,1.34
45.388489,0.55,1.33
45.482829,0.55,1.30
45.572748,0.53,1.31
45.667341,0.46,1.34
45.756981,0.44,1.36
45.847056,0.43,1.35
45.941482,0.40,1.33
46.031545,0.44,1.34
46.125975,0.44,1.35
46.215682,0.44,1.34
46.310077,0.50,1.32
46.400232,0.47,1.32
46.49009,0.45,1.36
46.58464,0.46,1.35
46.674549,0.43,1.35
46.768732,0.43,1.35
46.858762,0.42,1.35
46.953064,0.43,1.35
47.043037,0.43,1.33
47.132988,0.46,1.36
47.227476,0.43,1.32
47.31753,0.39,1.38
47.412037,0.36,1.37
47.501646,0.38,1.31
47.595938,0.41,1.32
47.686039,0.39,1.32
47.780187,0.39,1.33
47.870432,0.37,1.33
47.960422,0.39,1.40
48.055001,0.44,1.37
48.144724,0.44,1.35
48.239445,0.46,1.32
48.329449,0.46,1.31
48.423529,0.46,1.38
48.513699,0.48,1.37
48.603327,0.41,1.32
48.697981,0.36,1.34
48.788148,0.41,1.33
48.882111,0.38,1.33
48.972417,0.42,1.30
49.066274,0.42,1.33
49.156724,0.43,1.34
49.246829,0.48,1.33
49.340816,0.50,1.35
49.431092,0.51,1.36
49.52494,0.51,1.39
49.615373,0.56,1.35
49.709637,0.57,1.37
49.800091,0.56,1.38
49.889344,0.68,1.35
49.983932,0.68,1.32
50.073845,0.64,1.32
50.168474,0.66,1.36
50.258206,0.66,1.34
50.352861,0.66,1.36
50.442572,0.64,1.38
50.532581,0.62,1.36
50.627044,0.65,1.36
50.7169,0.66,1.37
50.811003,0.61,1.37
50.90108,0.59,1.34
50.995361,0.59,1.34
51.0859,0.56,1.36
51.175977,0.59,1.37
51.270154,0.65,1.37
