timestamp,engine_value,nitrous_value
32.151013,0.02,1.47
32.245438,0.02,1.46
32.338955,0.01,1.48
32.429673,0.00,1.43
32.523932,0.01,1.44
32.614033,0.02,1.47
32.708199,0.00,1.45
32.798303,0.03,1.43
32.8928,0.03,1.45
32.982631,0.01,1.44
33.077067,0.02,1.45
33.166962,0.04,1.43
33.26123,0.07,1.45
33.350764,0.03,1.44
33.445343,0.05,1.49
33.535776,-0.07,1.50
33.629902,0.06,1.48
33.719808,0.11,1.46
33.814334,0.07,1.47
33.90442,0.07,1.47
33.998565,0.04,1.45
34.088676,-0.04,1.46
34.183006,0.05,1.39
34.273157,0.64,1.39
34.366828,7.57,1.47
34.456919,23.15,1.46
34.551576,35.68,1.38
34.641423,40.47,1.32
34.735525,44.28,1.27
34.825736,51.05,1.24
34.919972,56.90,1.22
35.014426,61.67,1.19
35.103868,65.18,1.19
35.19829,66.98,1.15
35.288294,68.54,1.14
35.38302,70.01,1.10
35.472365,70.25,1.05
35.567367,70.21,1.08
35.657164,70.20,1.06
35.751481,69.55,1.03
35.841421,69.56,1.00
35.935554,70.06,0.97
36.025856,68.90,0.97
36.119574,67.33,0.89
36.209975,67.62,0.89
36.304455,66.35,0.90
36.394431,64.79,0.86
36.488151,65.38,0.87
36.578443,64.82,0.83
36.672741,63.25,0.82
36.763035,63.74,0.81
36.85738,62.62,0.76
36.947036,63.13,0.71
37.04126,63.39,0.69
37.131114,61.50,0.67
37.225357,60.84,0.65
37.319574,61.45,0.61
37.409787,60.27,0.57
37.504168,60.09,0.55
37.594729,61.19,0.52
37.688948,60.17,0.52
37.778479,60.71,0.50
37.872784,61.69,0.47
37.963212,60.16,0.49
38.057539,59.98,0.46
38.147163,60.88,0.46
38.241896,60.25,0.46
38.331422,59.54,0.41
38.426024,59.99,0.40
38.5157,60.72,0.40
38.61011,61.97,0.39
38.700143,65.16,0.38
38.794663,68.43,0.40
38.88476,68.70,0.40
38.978963,65.16,0.40
39.069097,60.26,0.40
39.163326,56.46,0.38
39.253227,52.56,0.38
39.347032,48.07,0.36
39.437681,43.98,0.35
39.531427,40.52,0.35
39.625741,37.30,0.33
39.715937,34.97,0.31
39.810037,33.06,0.32
39.900465,29.87,0.32
39.99484,28.59,0.31
40.08446,27.24,0.31
40.17925,25.95,0.27
40.269155,25.05,0.26
40.363307,23.98,0.29
40.453503,23.02,0.31
40.547791,22.14,0.29
40.637301,21.33,0.27
40.731403,20.64,0.29
40.822088,19.85,0.26
40.915658,19.08,0.24
41.005789,18.33,0.23
41.100309,17.78,0.23
41.190673,17.32,0.24
41.284946,16.69,0.26
41.374238,15.96,0.22
41.468523,15.26,0.22
41.559263,14.71,0.22
41.653025,14.20,0.22
41.747375,13.70,0.20
